
SMC Bar Sample						
Sk -66\deg 88	-0.960\kern.1666em\mp \kern.1666em0.276	1.051\kern.1666em\pm \kern.1666em0.115	2.095\kern.1666em\pm \kern.1666em0.310	0.113\kern.1666em\pm \kern.1666em0.042	4.580\kern.1666em\pm \kern.1666em0.016	0.916\kern.1666em\pm \kern.1666em0.015
Sk -67\deg 2	-3.914\kern.1666em\mp \kern.1666em0.851	1.781\kern.1666em\pm \kern.1666em0.347	3.680\kern.1666em\pm \kern.1666em0.744	0.884\kern.1666em\pm \kern.1666em0.239	4.566\kern.1666em\pm \kern.1666em0.014	0.996\kern.1666em\pm \kern.1666em0.016
Sk -68\deg 23	-0.152\kern.1666em\mp \kern.1666em0.070	0.696\kern.1666em\pm \kern.1666em0.053	4.647\kern.1666em\pm \kern.1666em0.572	0.453\kern.1666em\pm \kern.1666em0.108	4.493\kern.1666em\pm \kern.1666em0.014	1.135\kern.1666em\pm \kern.1666em0.019
Sk -68\deg 26	-1.076\kern.1666em\mp \kern.1666em0.343	1.082\kern.1666em\pm \kern.1666em0.130	4.085\kern.1666em\pm \kern.1666em0.621	0.121\kern.1666em\pm \kern.1666em0.045	4.622\kern.1666em\pm \kern.1666em0.015	1.076\kern.1666em\pm \kern.1666em0.018
Sk -68\deg 129	-2.318\kern.1666em\mp \kern.1666em0.507	1.388\kern.1666em\pm \kern.1666em0.243	1.632\kern.1666em\pm \kern.1666em0.340	0.468\kern.1666em\pm \kern.1666em0.162	4.569\kern.1666em\pm \kern.1666em0.019	0.790\kern.1666em\pm \kern.1666em0.013
Sk -69\deg 108	-1.262\kern.1666em\mp \kern.1666em0.327	0.992\kern.1666em\pm \kern.1666em0.102	5.046\kern.1666em\pm \kern.1666em0.621	0.384\kern.1666em\pm \kern.1666em0.101	4.519\kern.1666em\pm \kern.1666em0.010	1.079\kern.1666em\pm \kern.1666em0.017
Sk -69\deg 206	-1.243\kern.1666em\mp \kern.1666em0.342	1.217\kern.1666em\pm \kern.1666em0.144	1.169\kern.1666em\pm \kern.1666em0.204	0.016\kern.1666em\pm \kern.1666em0.007	4.500\kern.1666em\pm \kern.1666em0.020	0.689\kern.1666em\pm \kern.1666em0.011
Sk -69\deg 210	-1.559\kern.1666em\mp \kern.1666em0.187	1.182\kern.1666em\pm \kern.1666em0.087	1.583\kern.1666em\pm \kern.1666em0.166	0.307\kern.1666em\pm \kern.1666em0.074	4.641\kern.1666em\pm \kern.1666em0.007	0.720\kern.1666em\pm \kern.1666em0.011
Sk -69\deg 213	-2.791\kern.1666em\mp \kern.1666em0.703	1.594\kern.1666em\pm \kern.1666em0.300	1.816\kern.1666em\pm \kern.1666em0.337	0.527\kern.1666em\pm \kern.1666em0.177	4.564\kern.1666em\pm \kern.1666em0.018	0.735\kern.1666em\pm \kern.1666em0.014
Average	-0.890\kern.1666em\mp \kern.1666em0.142	0.998\kern.1666em\pm \kern.1666em0.027	2.719\kern.1666em\pm \kern.1666em0.137	0.400\kern.1666em\pm \kern.1666em0.036	4.579\kern.1666em\pm \kern.1666em0.007	0.934\kern.1666em\pm \kern.1666em0.016
