
SMC								
AzV 18	12.420\kern.1666em\pm \kern.1666em0.044	0.041\kern.1666em\pm \kern.1666em0.006	-0.794\kern.1666em\pm \kern.1666em0.021	0.069\kern.1666em\pm \kern.1666em0.005	0.123\kern.1666em\pm \kern.1666em0.008	12.368\kern.1666em\pm \kern.1666em0.032	12.336\kern.1666em\pm \kern.1666em0.030	12.261\kern.1666em\pm \kern.1666em0.033
Sk -69\deg 108	12.100\kern.1666em\pm \kern.1666em0.020	0.270\kern.1666em\pm \kern.1666em0.020	-0.490\kern.1666em\pm \kern.1666em0.040	\ldots	\ldots	11.530\kern.1666em\pm \kern.1666em0.029	\ldots	11.263\kern.1666em\pm \kern.1666em0.015
Sk -69\deg 206	12.840\kern.1666em\pm \kern.1666em0.020	0.140\kern.1666em\pm \kern.1666em0.020	-0.760\kern.1666em\pm \kern.1666em0.040	\ldots	\ldots	12.408\kern.1666em\pm \kern.1666em0.033	12.382\kern.1666em\pm \kern.1666em0.037	12.257\kern.1666em\pm \kern.1666em0.043
Sk -69\deg 210	12.590\kern.1666em\pm \kern.1666em0.020	0.360\kern.1666em\pm \kern.1666em0.020	-0.590\kern.1666em\pm \kern.1666em0.040	\ldots	\ldots	11.796\kern.1666em\pm \kern.1666em0.036	11.711\kern.1666em\pm \kern.1666em0.033	11.587\kern.1666em\pm \kern.1666em0.038
Sk -69\deg 213	11.970\kern.1666em\pm \kern.1666em0.020	0.100\kern.1666em\pm \kern.1666em0.020	-0.750\kern.1666em\pm \kern.1666em0.040	\ldots	\ldots	11.698\kern.1666em\pm \kern.1666em0.033	11.713\kern.1666em\pm \kern.1666em0.035	11.642\kern.1666em\pm \kern.1666em0.037
Sk -69\deg 228	12.120\kern.1666em\pm \kern.1666em0.020	0.050\kern.1666em\pm \kern.1666em0.020	-0.760\kern.1666em\pm \kern.1666em0.040	\ldots	\ldots	12.029\kern.1666em\pm \kern.1666em0.034	11.998\kern.1666em\pm \kern.1666em0.034	11.937\kern.1666em\pm \kern.1666em0.037
Sk -69\deg 256	12.610\kern.1666em\pm \kern.1666em0.020	0.030\kern.1666em\pm \kern.1666em0.020	-0.830\kern.1666em\pm \kern.1666em0.040	\ldots	\ldots	12.799\kern.1666em\pm \kern.1666em0.032	12.728\kern.1666em\pm \kern.1666em0.047	12.732\kern.1666em\pm \kern.1666em0.044
Sk -69\deg 265	11.880\kern.1666em\pm \kern.1666em0.020	0.120\kern.1666em\pm \kern.1666em0.020	-0.630\kern.1666em\pm \kern.1666em0.040	\ldots	\ldots	11.680\kern.1666em\pm \kern.1666em0.029	11.628\kern.1666em\pm \kern.1666em0.045	11.598\kern.1666em\pm \kern.1666em0.037
Sk -69\deg 270	11.270\kern.1666em\pm \kern.1666em0.020	0.140\kern.1666em\pm \kern.1666em0.020	-0.520\kern.1666em\pm \kern.1666em0.040	\ldots	\ldots	11.009\kern.1666em\pm \kern.1666em0.036	10.989\kern.1666em\pm \kern.1666em0.037	10.936\kern.1666em\pm \kern.1666em0.036
Sk -69\deg 279	12.790\kern.1666em\pm \kern.1666em0.020	0.050\kern.1666em\pm \kern.1666em0.020	-0.840\kern.1666em\pm \kern.1666em0.040	\ldots	\ldots	12.701\kern.1666em\pm \kern.1666em0.036	12.613\kern.1666em\pm \kern.1666em0.051	12.550\kern.1666em\pm \kern.1666em0.043
Sk -69\deg 280	12.660\kern.1666em\pm \kern.1666em0.020	0.090\kern.1666em\pm \kern.1666em0.020	-0.740\kern.1666em\pm \kern.1666em0.040	\ldots	\ldots	12.492\kern.1666em\pm \kern.1666em0.031	12.451\kern.1666em\pm \kern.1666em0.037	12.410\kern.1666em\pm \kern.1666em0.037
Sk -70\deg 116	12.050\kern.1666em\pm \kern.1666em0.020	0.110\kern.1666em\pm \kern.1666em0.020	-0.720\kern.1666em\pm \kern.1666em0.040	\ldots	\ldots	11.679\kern.1666em\pm \kern.1666em0.034	11.585\kern.1666em\pm \kern.1666em0.035	11.520\kern.1666em\pm \kern.1666em0.031
Sk -70\deg 120	11.590\kern.1666em\pm \kern.1666em0.020	-0.060\kern.1666em\pm \kern.1666em0.020	-0.880\kern.1666em\pm \kern.1666em0.040	\ldots	\ldots	11.831\kern.1666em\pm \kern.1666em0.033	11.803\kern.1666em\pm \kern.1666em0.028	11.835\kern.1666em\pm \kern.1666em0.036
